completion_year,location,property_type,rooms,parking,bathroom,size_sqft,furnished,nearby_railways
,Cheras,Apartment,3.0,1.0,2.0,950,Partially Furnished,yes
2000.0,Jalil,Condominium,2.0,1.0,1.0,733,Not Furnished,yes
,Hartamas,Service Residence,2.0,1.0,2.0,1150,Fully Furnished,no
,Road,Condominium,3.0,1.0,2.0,1100,Not Furnished,no
,Setapak,Service Residence,2.0,,2.0,855,Partially Furnished,yes
1997.0,Desa,Condominium,3.0,1.0,2.0,918,Partially Furnished,
2007.0,Kuching,Service Residence,3.0,1.0,2.0,1300,Partially Furnished,no
,Pandan,Apartment,3.0,,2.0,800,Fully Furnished,no
,Cheras,Condominium,3.0,2.0,2.0,850,Partially Furnished,yes
2017.0,Sentul,Service Residence,3.0,1.0,2.0,1009,Partially Furnished,no
,Gombak,Condominium,3.0,2.0,2.0,920,Not Furnished,no
2021.0,Cheras,Service Residence,3.0,1.0,2.0,931,Fully Furnished,no
2020.0,City,Service Residence,3.0,,2.0,805,Fully Furnished,
,Kiara,Condominium,3.0,2.0,2.0,1200,Fully Furnished,yes
,Sentul,Service Residence,2.0,,2.0,999,Fully Furnished,yes
2014.0,Jalil,Condominium,3.0,2.0,2.0,1200,Fully Furnished,yes
2021.0,Sentul,Service Residence,3.0,1.0,2.0,850,Not Furnished,no
,Besi,Condominium,2.0,1.0,1.0,590,Not Furnished,no
2016.0,Keramat,Condominium,3.0,2.0,2.0,1372,Partially Furnished,yes
,Setapak,Flat,2.0,,1.0,560,Not Furnished,yes
,Road,Condominium,2.0,1.0,2.0,816,Fully Furnished,
2021.0,Segambut,Service Residence,3.0,2.0,2.0,1023,Fully Furnished,no
,Setapak,Condominium,4.0,,3.0,999,Not Furnished,yes
2021.0,Cheras,Service Residence,3.0,,2.0,819,Partially Furnished,yes
2017.0,Sentul,Service Residence,3.0,1.0,2.0,900,Not Furnished,no
2022.0,Sentul,Condominium,2.0,2.0,2.0,800,Partially Furnished,
2013.0,KLCC,Service Residence,1.0,1.0,1.0,610,Fully Furnished,no
2022.0,Petaling,Service Residence,2.0,,2.0,732,Not Furnished,
,Hartamas,Condominium,1.0,,1.0,780,Partially Furnished,no
,Cheras,Apartment,3.0,1.0,2.0,800,Partially Furnished,
,Cheras,Condominium,3.0,2.0,2.0,1125,Fully Furnished,
