completion_year,location,property_type,rooms,parking,bathroom,size_sqft,furnished,nearby_railways
2019.0,Keramat,Condominium,3.0,,2.0,1100,Partially Furnished,
,Bintang,Condominium,3.0,,2.0,1300,Fully Furnished,
,OUG,Service Residence,3.0,1.0,2.0,950,Fully Furnished,yes
,OUG,Service Residence,1.0,,1.0,300,Fully Furnished,no
2011.0,Road,Duplex,1.0,1.0,2.0,775,Partially Furnished,no
,Besi,Service Residence,2.0,2.0,2.0,1025,Fully Furnished,yes
,Desa,Condominium,3.0,1.0,2.0,850,Fully Furnished,
,Maju,Service Residence,3.0,2.0,2.0,819,Partially Furnished,no
,Cheras,Apartment,3.0,,2.0,850,Not Furnished,
2017.0,Maju,Apartment,4.0,2.0,2.0,850,Partially Furnished,yes
,Setapak,Service Residence,3.0,1.0,2.0,926,Partially Furnished,yes
2019.0,Setapak,Apartment,3.0,2.0,2.0,928,Partially Furnished,yes
2008.0,Setiawangsa,Condominium,3.0,1.0,2.0,1200,Fully Furnished,no
2007.0,Ismail,Condominium,4.0,2.0,3.0,1826,Fully Furnished,yes
2021.0,Jalil,Apartment,3.0,1.0,2.0,850,Fully Furnished,no
2017.0,Maju,Apartment,4.0,2.0,2.0,850,Fully Furnished,yes
,Cheras,Condominium,3.0,2.0,2.0,947,Fully Furnished,yes
2005.0,Cheras,Condominium,3.0,1.0,2.0,930,Partially Furnished,no
,Ismail,Condominium,4.0,2.0,4.0,1826,Fully Furnished,yes
2021.0,Setapak,Apartment,4.0,2.0,2.0,1000,Not Furnished,no
2014.0,Sentul,Condominium,3.0,,2.0,1050,Fully Furnished,
2019.0,KLCC,Service Residence,2.0,,1.0,630,Fully Furnished,yes
2021.0,Cheras,Service Residence,2.0,1.0,2.0,650,Partially Furnished,no
,Cheras,Apartment,3.0,,2.0,850,Not Furnished,
2017.0,Sentul,Service Residence,3.0,1.0,2.0,948,Partially Furnished,no
,Desa,Condominium,3.0,1.0,2.0,850,Partially Furnished,no
,Besi,Service Residence,2.0,2.0,2.0,1025,Fully Furnished,no
,Jalil,Apartment,3.0,,2.0,800,Not Furnished,
,Damansara,Service Residence,1.0,1.0,1.0,607,Fully Furnished,yes
2019.0,Perdana,Apartment,1.0,1.0,1.0,450,Fully Furnished,
2011.0,Titiwangsa,Condominium,3.0,,2.0,1100,Fully Furnished,
2015.0,Segambut,Condominium,2.0,1.0,2.0,900,Fully Furnished,no
2017.0,Road,Service Residence,3.0,,2.0,900,Partially Furnished,yes
,Jalil,Condominium,3.0,1.0,2.0,1000,Partially Furnished,no
,Bintang,Condominium,3.0,,2.0,1300,Fully Furnished,
2019.0,Road,Service Residence,2.0,1.0,2.0,725,Fully Furnished,yes
2021.0,Cheras,Service Residence,2.0,1.0,2.0,650,Partially Furnished,yes
2015.0,Hilir,Condominium,2.0,1.0,1.0,890,Fully Furnished,
,Setapak,Apartment,3.0,1.0,2.0,855,Partially Furnished,yes
,OUG,Condominium,3.0,1.0,2.0,950,Partially Furnished,
2020.0,Sentul,Apartment,3.0,1.0,2.0,850,Partially Furnished,no
,Desa,Condominium,3.0,,2.0,1130,Fully Furnished,yes
2013.0,Kuching,Condominium,3.0,2.0,2.0,1590,Partially Furnished,
2021.0,Kepong,Service Residence,3.0,1.0,2.0,916,Not Furnished,yes
2018.0,City,Service Residence,1.0,1.0,1.0,320,Fully Furnished,yes
2016.0,Puchong,Service Residence,3.0,2.0,2.0,1288,Fully Furnished,yes
2017.0,Sentul,Service Residence,3.0,1.0,2.0,948,Partially Furnished,no
2013.0,Lama,Condominium,3.0,1.0,2.0,850,Partially Furnished,no
,South,Flat,3.0,,1.0,850,Partially Furnished,yes
2020.0,Sentul,Apartment,3.0,1.0,2.0,876,Partially Furnished,no
,Jalil,Apartment,3.0,1.0,2.0,800,Partially Furnished,
2014.0,Segambut,Apartment,2.0,1.0,1.0,750,Fully Furnished,yes
,Maju,Service Residence,3.0,2.0,2.0,950,Partially Furnished,
,Jalil,Condominium,4.0,1.0,3.0,1424,Partially Furnished,no
,Setapak,Condominium,2.0,1.0,2.0,900,Not Furnished,no
2021.0,Sentul,Service Residence,3.0,1.0,2.0,853,Partially Furnished,
,Besi,Apartment,2.0,,1.0,688,Partially Furnished,no
2017.0,Sentul,Service Residence,3.0,,2.0,1032,Fully Furnished,no
2015.0,Ampang,Service Residence,1.0,1.0,1.0,640,Fully Furnished,yes
2019.0,Hilir,Service Residence,2.0,1.0,1.0,697,Fully Furnished,no
2002.0,Cheras,Apartment,3.0,1.0,2.0,750,Partially Furnished,yes
2021.0,Setapak,Condominium,3.0,,2.0,800,Not Furnished,no
,Cheras,Flat,3.0,1.0,1.0,700,Not Furnished,yes
2017.0,Dutamas,Condominium,3.0,2.0,3.0,1500,Fully Furnished,
,Kepong,Apartment,3.0,1.0,2.0,916,Not Furnished,
2005.0,Cheras,Condominium,3.0,1.0,2.0,920,Fully Furnished,no
,Kiara,Condominium,3.0,2.0,2.0,1200,Fully Furnished,
2025.0,Cheras,Condominium,3.0,1.0,2.0,893,Partially Furnished,yes
,Kepong,Condominium,3.0,2.0,2.0,1100,Partially Furnished,
2017.0,Ipoh,Condominium,3.0,2.0,2.0,1100,Fully Furnished,yes
,Maju,Apartment,2.0,2.0,1.0,600,Partially Furnished,
,Ipoh,Condominium,3.0,1.0,2.0,1270,Partially Furnished,no
2005.0,Petaling,Condominium,3.0,,2.0,1000,Partially Furnished,
2019.0,Setapak,Apartment,3.0,2.0,2.0,928,Partially Furnished,yes
2018.0,Hartamas,Service Residence,2.0,1.0,1.0,560,Fully Furnished,no
2004.0,Kuching,Condominium,3.0,1.0,2.0,1100,Partially Furnished,no
,Pandan,Apartment,3.0,2.0,2.0,850,Fully Furnished,no
2017.0,Sentul,Condominium,2.0,1.0,2.0,900,Fully Furnished,
1995.0,Petaling,Condominium,3.0,1.0,2.0,1141,Fully Furnished,yes
,Jalil,Condominium,3.0,1.0,2.0,1000,Fully Furnished,
1998.0,Cheras,Condominium,3.0,1.0,2.0,960,Fully Furnished,yes
,Cheras,Apartment,3.0,2.0,2.0,860,Partially Furnished,
,Titiwangsa,Apartment,1.0,,1.0,500,Fully Furnished,yes
2020.0,Pantai,Apartment,3.0,1.0,2.0,810,Not Furnished,
2021.0,Cheras,Service Residence,3.0,1.0,2.0,864,Fully Furnished,yes
2022.0,Desa,Condominium,4.0,2.0,3.0,1116,Fully Furnished,yes
,Kepong,Apartment,3.0,,2.0,650,Not Furnished,yes
2020.0,Maju,Condominium,3.0,1.0,2.0,1000,Fully Furnished,
,Petaling,Condominium,3.0,1.0,2.0,928,Partially Furnished,
,Setapak,Flat,3.0,,1.0,650,Not Furnished,no
2021.0,Jalil,Apartment,3.0,1.0,2.0,850,Partially Furnished,yes
2021.0,Cheras,Service Residence,3.0,2.0,2.0,819,Not Furnished,
2007.0,Cheras,Condominium,3.0,1.0,2.0,810,Fully Furnished,
,Ipoh,Apartment,3.0,2.0,2.0,900,Partially Furnished,yes
,Indah,Apartment,3.0,1.0,2.0,1000,Partially Furnished,
2013.0,Setapak,Condominium,4.0,1.0,2.0,1313,Partially Furnished,
2021.0,Jalil,Apartment,3.0,1.0,2.0,850,Partially Furnished,yes
2012.0,Maju,Condominium,3.0,2.0,3.0,1647,Fully Furnished,yes
2020.0,Kepong,Apartment,3.0,1.0,2.0,800,Not Furnished,yes
,Hilir,Condominium,1.0,,1.0,404,Fully Furnished,no
2019.0,Jalil,Service Residence,2.0,,2.0,868,Partially Furnished,
,Keramat,Condominium,3.0,1.0,2.0,907,Fully Furnished,no
2010.0,Ipoh,Condominium,3.0,1.0,2.0,1400,Not Furnished,yes
2013.0,Cheras,Service Residence,3.0,1.0,2.0,920,Fully Furnished,yes
2012.0,Cheras,Service Residence,3.0,,2.0,950,Fully Furnished,yes
2000.0,Desa,Condominium,3.0,1.0,2.0,1000,Fully Furnished,
1999.0,Road,Condominium,3.0,1.0,2.0,1280,Fully Furnished,yes
2021.0,Cheras,Condominium,3.0,2.0,2.0,1018,Partially Furnished,yes
,Kiara,Service Residence,1.0,1.0,1.0,500,Fully Furnished,no
,Perdana,Flat,3.0,,2.0,650,Partially Furnished,no
2021.0,Segambut,Condominium,2.0,2.0,2.0,883,Fully Furnished,
2019.0,Road,Service Residence,3.0,2.0,2.0,852,Partially Furnished,no
2019.0,Road,Service Residence,2.0,,2.0,750,Fully Furnished,yes
2014.0,Sentul,Condominium,3.0,1.0,2.0,1100,Fully Furnished,no
2016.0,Maju,Condominium,4.0,2.0,4.0,1500,Partially Furnished,
2020.0,City,Apartment,3.0,1.0,2.0,950,Partially Furnished,yes
2021.0,Kepong,Service Residence,3.0,1.0,2.0,916,Partially Furnished,yes
2007.0,Setapak,Condominium,3.0,,2.0,1100,Fully Furnished,no
2012.0,Ismail,Service Residence,1.0,,1.0,755,Fully Furnished,yes
2020.0,Keramat,Condominium,4.0,2.0,2.0,1184,Fully Furnished,no
2019.0,Road,Service Residence,3.0,2.0,2.0,1095,Fully Furnished,
,KLCC,Service Residence,3.0,,2.0,849,Fully Furnished,yes
,Jaya,Flat,2.0,,1.0,400,Partially Furnished,yes
2021.0,Kepong,Service Residence,3.0,1.0,2.0,980,Partially Furnished,yes
,City,Condominium,1.0,,1.0,720,Fully Furnished,
2014.0,Setapak,Condominium,4.0,2.0,4.0,1896,Not Furnished,no
2008.0,Cheras,Apartment,3.0,1.0,2.0,660,Partially Furnished,yes
2020.0,Keramat,Condominium,3.0,1.0,2.0,800,Not Furnished,no
2020.0,Pantai,Apartment,3.0,,2.0,850,Partially Furnished,
2015.0,Besi,Apartment,2.0,,2.0,1060,Fully Furnished,
2020.0,Kepong,Service Residence,4.0,2.0,2.0,1027,Partially Furnished,
2018.0,Besi,Apartment,3.0,1.0,2.0,1035,Fully Furnished,
2010.0,Melawati,Condominium,3.0,2.0,2.0,1000,Fully Furnished,
,Jalil,Apartment,3.0,1.0,2.0,667,Partially Furnished,
2006.0,Sentul,Apartment,3.0,1.0,2.0,1100,Partially Furnished,
2019.0,Kepong,Condominium,3.0,2.0,2.0,1100,Not Furnished,no
2016.0,Road,Condominium,2.0,1.0,2.0,892,Fully Furnished,no
2017.0,Segambut,Condominium,3.0,2.0,3.0,1155,Fully Furnished,
2018.0,Brickfields,Service Residence,1.0,1.0,1.0,468,Fully Furnished,yes
,Lama,Apartment,2.0,,2.0,600,Not Furnished,no
,Sentul,Condominium,2.0,1.0,1.0,646,Partially Furnished,
2016.0,Puchong,Service Residence,3.0,2.0,2.0,1096,Fully Furnished,yes
,Setapak,Condominium,3.0,1.0,2.0,850,Partially Furnished,yes
2021.0,Jalil,Apartment,3.0,1.0,2.0,850,Partially Furnished,
2001.0,Ampang,Apartment,3.0,1.0,2.0,828,Fully Furnished,no
,Jalil,Condominium,4.0,1.0,3.0,1424,Fully Furnished,yes
,Kepong,Condominium,3.0,2.0,2.0,1100,Fully Furnished,
2023.0,Ipoh,Service Residence,2.0,1.0,1.0,611,Partially Furnished,yes
,Jalil,Apartment,3.0,1.0,2.0,800,Partially Furnished,yes
2017.0,Sentul,Condominium,3.0,2.0,3.0,1237,Fully Furnished,yes
,Kiara,Condominium,3.0,1.0,2.0,1268,Fully Furnished,yes
,Kepong,Apartment,3.0,1.0,2.0,650,Not Furnished,no
2021.0,Keramat,Apartment,3.0,1.0,2.0,850,Not Furnished,yes
2020.0,Kepong,Service Residence,4.0,2.0,2.0,932,Partially Furnished,yes
2021.0,Cheras,Service Residence,3.0,,2.0,819,Partially Furnished,yes
1990.0,Kepong,Apartment,3.0,1.0,2.0,837,Not Furnished,
2023.0,Cheras,Condominium,4.0,2.0,2.0,1030,Fully Furnished,no
2022.0,Kiara,Condominium,3.0,2.0,2.0,940,Fully Furnished,no
2021.0,Sentul,Service Residence,3.0,,2.0,850,Fully Furnished,yes
,Maju,Condominium,1.0,1.0,1.0,500,Partially Furnished,yes
1999.0,Road,Condominium,3.0,,2.0,1270,Partially Furnished,yes
2017.0,KLCC,Service Residence,1.0,1.0,1.0,925,Fully Furnished,yes
,Kepong,Apartment,3.0,,2.0,955,Partially Furnished,
2011.0,Road,Duplex,1.0,1.0,2.0,775,Not Furnished,
2020.0,Sentul,Service Residence,3.0,1.0,2.0,820,Partially Furnished,no
2020.0,Keramat,Condominium,4.0,2.0,2.0,1184,Not Furnished,yes
2008.0,Ampang,Condominium,2.0,,2.0,1400,Fully Furnished,
,Cheras,Condominium,3.0,1.0,2.0,867,Partially Furnished,yes
2010.0,Cheras,Condominium,3.0,1.0,2.0,755,Fully Furnished,
2019.0,Gombak,Service Residence,3.0,,2.0,850,Fully Furnished,no
,Kiara,Service Residence,2.0,1.0,2.0,950,Fully Furnished,no
2017.0,Setapak,Condominium,3.0,2.0,2.0,1200,Partially Furnished,no
,Kepong,Flat,3.0,,2.0,650,Not Furnished,yes
,Keramat,Condominium,3.0,,2.0,925,Partially Furnished,yes
2021.0,Cheras,Service Residence,3.0,1.0,2.0,819,Partially Furnished,
2016.0,Ampang,Condominium,3.0,,2.0,1271,Partially Furnished,yes
2018.0,Ampang,Service Residence,1.0,1.0,1.0,700,Fully Furnished,yes
,Setapak,Condominium,3.0,,2.0,845,Partially Furnished,no
2020.0,Kepong,Apartment,3.0,1.0,2.0,800,Not Furnished,no
2007.0,Maju,Condominium,3.0,1.0,2.0,1250,Fully Furnished,yes
2021.0,Kepong,Service Residence,4.0,2.0,2.0,1227,Partially Furnished,yes
2017.0,Setapak,Condominium,4.0,2.0,3.0,1580,Fully Furnished,no
,Cheras,Apartment,3.0,1.0,2.0,888,Partially Furnished,no
2020.0,Kepong,Apartment,3.0,1.0,2.0,800,Not Furnished,no
,Kepong,Apartment,3.0,1.0,2.0,650,Not Furnished,
2020.0,Keramat,Condominium,3.0,2.0,2.0,926,Not Furnished,yes
2020.0,Pantai,Apartment,3.0,,2.0,850,Partially Furnished,
2013.0,Kepong,Condominium,1.0,1.0,1.0,960,Partially Furnished,yes
,Ipoh,Condominium,3.0,1.0,2.0,1200,Partially Furnished,no
2016.0,Keramat,Condominium,2.0,,2.0,2800,Fully Furnished,yes
2021.0,Damansara,Service Residence,1.0,1.0,1.0,607,Fully Furnished,yes
2020.0,Sentul,Apartment,3.0,1.0,2.0,876,Partially Furnished,yes
,Cheras,Apartment,3.0,2.0,2.0,1000,Partially Furnished,no
2021.0,Cheras,Service Residence,1.0,,1.0,250,Fully Furnished,yes
2015.0,Kepong,Apartment,3.0,,2.0,1000,Fully Furnished,yes
2018.0,Cheras,Condominium,3.0,2.0,2.0,1200,Fully Furnished,yes
,Cheras,Condominium,4.0,2.0,2.0,1000,Fully Furnished,no
,Kepong,Apartment,3.0,,2.0,1000,Not Furnished,
,Setapak,Condominium,3.0,1.0,2.0,1000,Partially Furnished,
2000.0,Desa,Condominium,3.0,,2.0,938,Fully Furnished,
2009.0,KLCC,Service Residence,1.0,,1.0,722,Fully Furnished,no
2019.0,KLCC,Condominium,2.0,,2.0,687,Fully Furnished,
2021.0,Cheras,Service Residence,3.0,1.0,2.0,860,Fully Furnished,yes
2022.0,Setapak,Service Residence,3.0,2.0,2.0,1000,Partially Furnished,yes
2006.0,Heights,Service Residence,2.0,1.0,2.0,990,Fully Furnished,yes
2021.0,Jalil,Service Residence,2.0,,1.0,750,Partially Furnished,no
1985.0,Desa,Condominium,2.0,1.0,2.0,1050,Partially Furnished,no
2017.0,Maju,Apartment,3.0,2.0,2.0,770,Fully Furnished,yes
2021.0,Cheras,Service Residence,3.0,2.0,2.0,860,Fully Furnished,yes
2021.0,Damansara,Service Residence,1.0,1.0,1.0,499,Fully Furnished,yes
2020.0,Keramat,Condominium,4.0,2.0,2.0,1184,Fully Furnished,yes
2019.0,Road,Service Residence,3.0,3.0,2.0,852,Fully Furnished,no
,Cheras,Condominium,1.0,1.0,1.0,717,Partially Furnished,
2008.0,Ampang,Condominium,3.0,1.0,2.0,1497,Fully Furnished,
,Desa,Apartment,3.0,1.0,2.0,650,Partially Furnished,no
2021.0,Kepong,Service Residence,3.0,2.0,2.0,953,Not Furnished,yes
2010.0,Hilir,Condominium,3.0,1.0,2.0,908,Partially Furnished,no
2020.0,Sentul,Service Residence,3.0,1.0,2.0,820,Partially Furnished,no
,Cheras,Condominium,3.0,2.0,2.0,850,Partially Furnished,
2021.0,Cheras,Condominium,4.0,2.0,3.0,1200,Fully Furnished,no
2018.0,Cheras,Condominium,2.0,1.0,2.0,900,Fully Furnished,
,Setapak,Condominium,1.0,,1.0,689,Fully Furnished,yes
2003.0,Setapak,Condominium,3.0,,2.0,911,Partially Furnished,
2021.0,Segambut,Service Residence,2.0,1.0,2.0,883,Fully Furnished,
2000.0,Jalil,Condominium,1.0,1.0,1.0,600,Partially Furnished,yes
2007.0,City,Service Residence,1.0,,1.0,351,Fully Furnished,
2014.0,Cheras,Service Residence,3.0,1.0,2.0,1097,Fully Furnished,yes
2016.0,Road,Condominium,3.0,1.0,2.0,1200,Fully Furnished,no
2007.0,Kepong,Condominium,3.0,1.0,2.0,650,Partially Furnished,yes
2020.0,Pantai,Apartment,3.0,,2.0,850,Partially Furnished,
,Kepong,Apartment,3.0,1.0,2.0,907,Not Furnished,
2021.0,Lama,Condominium,3.0,2.0,3.0,1250,Partially Furnished,yes
2020.0,Keramat,Condominium,4.0,2.0,2.0,1065,Partially Furnished,yes
,OUG,Service Residence,3.0,,2.0,950,Fully Furnished,yes
2019.0,Gombak,Service Residence,3.0,1.0,2.0,940,Partially Furnished,
2021.0,Segambut,Condominium,2.0,2.0,2.0,900,Fully Furnished,yes
2021.0,Sentul,Service Residence,2.0,,1.0,650,Fully Furnished,yes
2021.0,Sentul,Condominium,3.0,2.0,2.0,850,Fully Furnished,yes
2013.0,Road,Condominium,2.0,1.0,3.0,900,Partially Furnished,no
,Sentul,Apartment,2.0,,1.0,500,Partially Furnished,yes
2023.0,Cheras,Condominium,4.0,2.0,2.0,1000,Partially Furnished,no
2021.0,Setapak,Condominium,3.0,,2.0,800,Not Furnished,
2017.0,Cheras,Service Residence,3.0,2.0,2.0,1050,Partially Furnished,yes
,Maju,Apartment,2.0,,1.0,600,Partially Furnished,
2021.0,Cheras,Service Residence,3.0,1.0,2.0,820,Partially Furnished,yes
,Jalil,Apartment,3.0,,2.0,850,Not Furnished,
2020.0,Keramat,Condominium,4.0,2.0,2.0,1065,Not Furnished,yes
1995.0,Petaling,Condominium,3.0,1.0,2.0,1100,Fully Furnished,no
,Cheras,Condominium,3.0,,2.0,817,Partially Furnished,yes
2018.0,City,Service Residence,1.0,,1.0,320,Fully Furnished,yes
2017.0,Maju,Condominium,3.0,1.0,2.0,860,Fully Furnished,
1997.0,Road,Condominium,3.0,,2.0,1190,Partially Furnished,yes
2008.0,Setapak,Condominium,4.0,1.0,2.0,1313,Partially Furnished,yes
,Cheras,Condominium,3.0,1.0,2.0,967,Partially Furnished,yes
,Ampang,Apartment,3.0,,1.0,720,Partially Furnished,
,Setapak,Service Residence,3.0,2.0,1.0,750,Fully Furnished,no
,Maju,Condominium,4.0,1.0,2.0,1100,Partially Furnished,yes
,Kepong,Apartment,3.0,1.0,2.0,655,Partially Furnished,
2007.0,Ampang,Condominium,3.0,1.0,2.0,1087,Fully Furnished,no
,Cheras,Flat,2.0,,1.0,600,Not Furnished,
2016.0,Road,Condominium,3.0,1.0,2.0,1202,Fully Furnished,yes
2021.0,Sentul,Condominium,2.0,1.0,1.0,721,Fully Furnished,yes
,Setapak,Condominium,4.0,1.0,2.0,1313,Fully Furnished,no
2017.0,Maju,Apartment,3.0,1.0,2.0,770,Partially Furnished,yes
,Maju,Flat,2.0,,1.0,700,Not Furnished,
,Road,Apartment,3.0,,1.0,750,Not Furnished,
,OUG,Service Residence,3.0,1.0,2.0,900,Partially Furnished,no
1990.0,Kepong,Apartment,3.0,1.0,2.0,850,Not Furnished,yes
2010.0,Setapak,Condominium,4.0,1.0,2.0,1550,Partially Furnished,yes
,Setapak,Condominium,3.0,,2.0,845,Not Furnished,
2017.0,Sentul,Service Residence,3.0,2.0,2.0,1095,Fully Furnished,no
2020.0,Sentul,Apartment,2.0,1.0,2.0,745,Partially Furnished,no
2021.0,Kepong,Service Residence,3.0,,2.0,978,Partially Furnished,yes
,South,Apartment,4.0,2.0,2.0,1000,Partially Furnished,
,Perdana,Condominium,3.0,1.0,2.0,1126,Fully Furnished,yes
1998.0,Bangsar,Condominium,3.0,,2.0,1000,Fully Furnished,yes
2005.0,Cheras,Condominium,3.0,1.0,2.0,950,Fully Furnished,no
2020.0,City,Condominium,1.0,,1.0,450,Fully Furnished,yes
2021.0,Lama,Condominium,3.0,,2.0,1200,Partially Furnished,
,Kepong,Apartment,3.0,,2.0,650,Partially Furnished,yes
,Cheras,Apartment,3.0,,2.0,700,Partially Furnished,yes
,ParkCity,Condominium,3.0,1.0,2.0,862,Fully Furnished,
2020.0,Keramat,Condominium,4.0,2.0,2.0,1184,Fully Furnished,no
,Cheras,Condominium,3.0,2.0,2.0,1003,Partially Furnished,yes
2018.0,Sentul,Service Residence,1.0,1.0,1.0,692,Fully Furnished,yes
2016.0,City,Service Residence,3.0,2.0,4.0,1653,Fully Furnished,yes
,KLCC,Condominium,2.0,,2.0,708,Fully Furnished,
,Setapak,Condominium,1.0,1.0,1.0,150,Not Furnished,yes
2015.0,Sentul,Condominium,3.0,,2.0,500,Partially Furnished,no
,Keramat,Flat,2.0,,1.0,550,Not Furnished,
2011.0,Titiwangsa,Condominium,3.0,1.0,2.0,1100,Fully Furnished,no
,Setapak,Apartment,3.0,1.0,1.0,657,Partially Furnished,yes
2017.0,Sentul,Condominium,2.0,1.0,2.0,860,Partially Furnished,
2019.0,Hilir,Service Residence,2.0,1.0,2.0,845,Fully Furnished,yes
,Cheras,Apartment,3.0,1.0,2.0,850,Partially Furnished,yes
,Keramat,Flat,2.0,,1.0,568,Partially Furnished,no
2010.0,Hilir,Condominium,3.0,,2.0,1000,Partially Furnished,
,Maju,Service Residence,3.0,,2.0,827,Fully Furnished,yes
2016.0,City,Service Residence,2.0,,2.0,1200,Fully Furnished,
2017.0,Road,Service Residence,3.0,1.0,2.0,1100,Fully Furnished,no
2020.0,City,Condominium,2.0,1.0,2.0,927,Not Furnished,no
2021.0,Setapak,Condominium,3.0,1.0,2.0,800,Partially Furnished,
2005.0,Cheras,Condominium,3.0,1.0,2.0,920,Partially Furnished,
2018.0,Kepong,Condominium,4.0,1.0,2.0,1000,Fully Furnished,
2021.0,Cheras,Service Residence,3.0,,2.0,864,Fully Furnished,yes
,Jalil,Apartment,4.0,1.0,2.0,1200,Not Furnished,yes
2019.0,Perdana,Apartment,1.0,1.0,1.0,466,Fully Furnished,no
,Sentul,Condominium,4.0,2.0,3.0,1200,Partially Furnished,yes
2014.0,Road,Condominium,3.0,,2.0,852,Fully Furnished,no
2010.0,Melawati,Condominium,2.0,2.0,2.0,1206,Partially Furnished,no
,Ampang,Apartment,3.0,1.0,2.0,750,Partially Furnished,no
2017.0,Road,Service Residence,2.0,1.0,2.0,785,Fully Furnished,no
,Titiwangsa,Service Residence,2.0,1.0,1.0,710,Fully Furnished,
,Ampang,Apartment,3.0,1.0,2.0,900,Not Furnished,yes
2019.0,Puchong,Condominium,3.0,2.0,2.0,1002,Fully Furnished,
2007.0,Ampang,Apartment,3.0,1.0,2.0,871,Partially Furnished,
2017.0,Besi,Condominium,3.0,1.0,2.0,1044,Fully Furnished,no
,Keramat,Apartment,3.0,1.0,2.0,950,Partially Furnished,
,Setapak,Condominium,3.0,2.0,2.0,926,Not Furnished,
,Jalil,Apartment,3.0,,2.0,800,Fully Furnished,
2017.0,Sentul,Service Residence,3.0,2.0,2.0,1009,Partially Furnished,no
,Indah,Condominium,2.0,2.0,1.0,590,Not Furnished,no
,Cheras,Condominium,3.0,1.0,2.0,967,Fully Furnished,yes
2013.0,Road,Condominium,1.0,,1.0,350,Fully Furnished,
2014.0,Setapak,Condominium,4.0,2.0,3.0,1362,Partially Furnished,
,Maju,Flat,2.0,,1.0,553,Not Furnished,
2014.0,South,Condominium,1.0,1.0,1.0,638,Fully Furnished,
2004.0,Kiara,Condominium,3.0,2.0,2.0,1900,Partially Furnished,
,Setapak,Service Residence,1.0,1.0,1.0,360,Fully Furnished,
2021.0,Damansara,Service Residence,1.0,1.0,1.0,499,Fully Furnished,no
,Desa,Apartment,3.0,1.0,2.0,1200,Not Furnished,yes
2017.0,Ipoh,Condominium,3.0,2.0,2.0,977,Partially Furnished,no
,Sentul,Flat,2.0,,1.0,600,Not Furnished,yes
,Cheras,Condominium,3.0,1.0,2.0,960,Partially Furnished,
,Kepong,Apartment,3.0,1.0,2.0,970,Not Furnished,no
2012.0,Ampang,Condominium,4.0,,2.0,1393,Fully Furnished,yes
,Setapak,Condominium,3.0,1.0,2.0,1300,Not Furnished,
2021.0,Cheras,Service Residence,3.0,,2.0,1080,Fully Furnished,yes
,Sentul,Condominium,3.0,1.0,2.0,1200,Not Furnished,yes
,Kepong,Flat,3.0,2.0,2.0,720,Not Furnished,no
2018.0,Besi,Apartment,3.0,1.0,2.0,1050,Partially Furnished,yes
2011.0,KLCC,Condominium,3.0,2.0,2.0,1259,Fully Furnished,yes
,Jalil,Condominium,2.0,1.0,1.0,750,Partially Furnished,yes
,Segambut,Apartment,3.0,1.0,2.0,1200,Fully Furnished,no
2021.0,Cheras,Condominium,3.0,2.0,2.0,1000,Partially Furnished,yes
,Jalil,Apartment,3.0,1.0,2.0,901,Not Furnished,no
,Kepong,Service Residence,4.0,1.0,3.0,753,Fully Furnished,no
,Desa,Apartment,3.0,,2.0,657,Fully Furnished,
2017.0,Ampang,Condominium,3.0,1.0,2.0,1300,Fully Furnished,no
,Setapak,Flat,2.0,,1.0,700,Not Furnished,
2020.0,Keramat,Condominium,4.0,2.0,2.0,1184,Not Furnished,
2021.0,Lama,Condominium,3.0,1.0,3.0,1250,Fully Furnished,yes
,Kuching,Service Residence,3.0,1.0,2.0,878,Fully Furnished,no
2021.0,Cheras,Service Residence,2.0,2.0,2.0,650,Partially Furnished,no
2013.0,Road,Condominium,1.0,1.0,1.0,350,Fully Furnished,yes
,Setapak,Service Residence,2.0,1.0,2.0,900,Not Furnished,
,Cheras,Condominium,3.0,2.0,2.0,950,Partially Furnished,
,Cheras,Condominium,3.0,,2.0,950,Partially Furnished,no
2023.0,Cheras,Condominium,3.0,2.0,2.0,850,Fully Furnished,yes
2021.0,Cheras,Service Residence,2.0,1.0,2.0,650,Fully Furnished,no
1995.0,Petaling,Condominium,3.0,1.0,2.0,1100,Fully Furnished,yes
2021.0,Damansara,Studio,1.0,1.0,1.0,499,Fully Furnished,yes
2021.0,Cheras,Service Residence,2.0,1.0,2.0,750,Fully Furnished,yes
,Road,Apartment,3.0,,2.0,750,Fully Furnished,no
2017.0,Sentul,Service Residence,3.0,2.0,2.0,1260,Fully Furnished,no
2017.0,Maju,Apartment,3.0,1.0,2.0,850,Partially Furnished,
,Jalil,Condominium,3.0,,2.0,825,Partially Furnished,yes
2015.0,Besi,Apartment,2.0,2.0,2.0,872,Partially Furnished,no
2015.0,Kepong,Apartment,3.0,,2.0,1000,Partially Furnished,no
2021.0,Sentul,Service Residence,3.0,1.0,2.0,646,Fully Furnished,yes
,Hartamas,Condominium,1.0,,1.0,590,Fully Furnished,
2020.0,Kepong,Service Residence,3.0,2.0,2.0,901,Partially Furnished,yes
1999.0,Ipoh,Condominium,3.0,1.0,2.0,1412,Partially Furnished,no
2006.0,Setapak,Condominium,4.0,1.0,2.0,1200,Partially Furnished,no
2020.0,Jalil,Condominium,3.0,2.0,2.0,1100,Fully Furnished,no
,Cheras,Apartment,3.0,,2.0,820,Fully Furnished,yes
,City,Condominium,3.0,1.0,2.0,950,Fully Furnished,yes
