lat,lon,station
3.5532596,101.6394461,Kuala Kubu Bharu KTM
3.1133038,101.6732598,Angkasapuri
3.0956067,101.670009,KD03 Pantai Dalam
3.0862295,101.6641432,Petaling
3.0834859,101.6565162,Jalan Templer
3.0844787,101.6322788,Kampung Dato Harun
3.0232024,101.7159912,Serdang
3.0231617,101.7158884,Serdang
2.9831192,101.7905717,Kajang (KTM)
3.0758628,101.5597303,KD10 Batu Tiga
3.0759817,101.5596963,KD10 Batu Tiga
3.0564068,101.525125,Shah Alam
3.0523639,101.4926741,Padang Jawa
3.0522445,101.492672,Padang Jawa
3.0359443,101.4702533,KTM Bukit Badak
3.020603,101.4105345,Kampung Raja Uda
4.3026728,101.153511,Kampar
4.3027113,101.1535366,Kampar
3.0846368,101.5882946,Subang Jaya (KTM)
3.0847429,101.588304,Subang Jaya (KTM)
3.1345566,101.5553065,Terminal Skypark
3.1342529,101.6864333,KL Sentral
3.1343854,101.6863621,KL Sentral (KTM)
3.1345936,101.6862636,KL Sentral (KTM)
3.1347009,101.6862285,KL Sentral
3.1395599,101.6936598,Kuala Lumpur
3.1395089,101.6937972,Kuala Lumpur
3.1982247,101.6812318,KC02 Batu Kentonmen
2.6605794,101.9962271,Sungai Gadut
2.7539826,101.8265821,KB11 Labu
2.7541052,101.8266056,KB11 Labu
2.9040421,101.7863217,Bangi
3.0981912,101.7053393,Salak Selatan
3.0982927,101.7054061,Salak Selatan
3.1185318,101.6790059,KB01 Mid Valley
2.9996336,101.3914603,KD19 Pelabuhan Klang
3.0135698,101.4030733,Jalan Kastam
3.0135963,101.4030472,Jalan Kastam
3.0340384,101.4249672,Teluk Gadong
3.040287,101.4316601,Teluk Pulai
3.0431209,101.449963,KTM Klang
3.0831586,101.611449,Setia Jaya
3.1864172,101.6641977,Segambut
3.208644,101.6285065,Kepong Sentral
3.2061782,101.5800355,Sungai Buloh (KTM)
3.2062687,101.5800567,Sungai Buloh (KTM)
3.2581831,101.5547877,Kuang
3.376064,101.6144393,KA11 Serendah
3.4683893,101.6377267,Batang Kali
3.500308,101.634181,KA13 Rasa
3.6847097,101.518212,Tanjung Malim
3.6847756,101.5182853,Tanjung Malim
3.2026423,101.6372464,Kepong
3.2027324,101.6373342,Kepong
3.1823091,101.6887161,Sentul
3.2047778,101.6756303,Kampung Batu (KTM)
3.2145295,101.6721673,Taman Wahyu
5.9589162,116.0685965,Sembulan
5.3933618,100.366572,Butterworth
5.393364,100.3664393,Butterworth
5.393284,100.3663809,Butterworth
5.3933914,100.3664593,Butterworth
5.3934685,100.3665156,Butterworth
3.1338707,101.686645,KL Sentral
3.1339806,101.6865914,KL Sentral
2.8303998,101.8267661,Batang Benar
2.8303784,101.8268895,Batang Benar
2.9313894,101.6709258,ERL Putrajaya/Cyberjaya
2.9313928,101.6708981,ERL Putrajaya/Cyberjaya
5.3643872,100.4216865,Bukit Tengah
5.3644204,100.4216984,Bukit Tengah
5.3662814,100.4479491,Bukit Mertajam
5.3663255,100.4479536,Bukit Mertajam
5.4821102,100.4980002,Tasek Gelugor
5.4821177,100.4979672,Tasek Gelugor
5.6428646,100.4900629,Sungai Petani
5.642874,100.4900259,Sungai Petani
5.8246553,100.4779536,Gurun
5.972063,100.4406351,Kobah
5.9720386,100.4405884,Kobah
6.1130166,100.3696532,Alor Setar
6.1130321,100.3696115,Alor Setar
6.1832936,100.3748721,Anak Bukit
6.1832733,100.374828,Anak Bukit
6.3707778,100.3028654,Kodiang
6.3707575,100.3028307,Kodiang
6.4319033,100.2683196,Arau
6.4319113,100.2683665,Arau
6.6631369,100.3207125,Padang Besar
6.6630588,100.3207656,Padang Besar
4.7780789,100.8575101,Padang Rengas
4.7781144,100.857518,Padang Rengas
4.8529505,100.7321605,Taiping
4.8529783,100.7321326,Taiping
4.8958315,100.7193709,Kamunting
4.8958338,100.7194037,Kamunting
5.0284804,100.5274445,Bagan Serai
5.028454,100.5273898,Bagan Serai
5.1304722,100.4861727,Parit Buntar
5.1304816,100.4862072,Parit Buntar
5.1694665,100.4796515,Nibong Tebal
5.1694637,100.4796891,Nibong Tebal
5.2860074,100.4807391,Simpang Ampat
5.286003,100.4807865,Simpang Ampat
2.5796147,102.6138027,Gemas
2.5796574,102.6137909,Gemas
2.5797081,102.6137767,Gemas
2.5797533,102.6137602,Gemas
2.4738636,102.4155293,Batang Melaka
2.4738252,102.4155451,Batang Melaka
3.7453765,101.4497324,Behrang
3.7454015,101.4497618,Behrang
3.8268112,101.402265,Slim River
3.8268564,101.4023161,Slim River
4.0059393,101.3014286,Sungkai
4.0059716,101.3014509,Sungkai
4.1740759,101.1892719,Tapah Road
4.459869,101.0492604,Batu Gajah
4.5975474,101.0730766,Ipoh
4.5975262,101.0731143,Ipoh
4.8185614,101.0712132,Sungai Siput
4.8185976,101.0712308,Sungai Siput
4.7763014,100.9318641,Kuala Kangsar
4.7762599,100.9318826,Kuala Kangsar
5.8240045,116.043862,Kinarut
