ads_id,prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities
100217431,Angkasa Condominiums,2005.0,RM 1 500 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,1000 sq.ft.,Fully Furnished,"Parking, Security, Minimart, Swimming Pool, Gymnasium, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100217406,Pertama Residency,2009.0,RM 1 400 per month,Kuala Lumpur - Cheras,Condominium,1,,1.0,700 sq.ft.,Fully Furnished,"Security, Swimming Pool, Gymnasium, Lift, Playground, Multipurpose hall, Minimart, Barbeque area, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100217394,Centrio SOHO @ Pantai Hillpark,2010.0,RM 2 350 per month,Kuala Lumpur - Pantai,Studio,1,,2.0,870 sq.ft.,Fully Furnished,"Security, Parking, Gymnasium, Sauna, Minimart, Playground",
100217099,Platinum OUG Residence,2021.0,RM 1 700 per month,Kuala Lumpur - Kuchai Lama,Condominium,3,1.0,2.0,1200 sq.ft.,Fully Furnished,"Security, Lift, Playground, Parking, Minimart, Jogging Track, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine"
100217087,Sri Putramas,2004.0,RM 1 900 per month,Kuala Lumpur - Jalan Kuching,Condominium,3,1.0,2.0,1150 sq.ft.,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Tennis Court, Barbeque area, Sauna, Parking, Security, Minimart, Lift, Club house, Jogging Track, Squash Court, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine"
100217037,Majestic Maxim,2021.0,RM 1 399 per month,Kuala Lumpur - Cheras,Service Residence,2,1.0,2.0,650 sq.ft.,Partially Furnished,"Gymnasium, Security, Playground, Barbeque area, Parking, Jogging Track, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine"
100217035,Midah Ria,,RM 1 350 per month,Kuala Lumpur - Cheras,Condominium,3,1.0,2.0,962 sq.ft.,Partially Furnished,,
100216953,Faber Heights,1988.0,RM 1 999 per month,Kuala Lumpur - Taman Desa,Condominium,3,2.0,2.0,1200 sq.ft.,Fully Furnished,"Swimming Pool, Gymnasium, Barbeque area, Parking, Security, Tennis Court, Sauna, Minimart, Club house, Playground, Squash Court, Lift","Air-Cond, Cooking Allowed, Washing Machine"
99602821,38 Bidara,,RM 2 100 per month,Kuala Lumpur - KLCC,Condominium,2,,2.0,706 sq.ft.,Fully Furnished,"Security, Lift, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT"
100217140,THE FENNEL AT SENTUL EAST,2017.0,RM 2 600 per month,Kuala Lumpur - Sentul,Condominium,3,1.0,3.0,1237 sq.ft.,Partially Furnished,,
