Wilayah,Propinsi,UN SMP,UN SMA IPA,UN SMA IPS,Tahun
kab. Puncak,Papua,69.62,0.0,62.71,2016
Kab. Dogiyai,Papua,49.76,47.35,45.35,2016
Kab. Deiyai,Papua,54.66,51.51,46.73,2016
Kab. Intan Jaya,Papua,71.47,50.73,54.71,2016
Kota Jayapura,Papua,49.22,43.03,35.21,2016
Prov. Bengkulu,Bengkulu,48.49,47.71,45.11,2016
Kab. Bengkulu Utara,Bengkulu,48.87,52.43,49.9,2016
Kab. Rejang Lebong,Bengkulu,47.63,48.76,48.18,2016
Kab. Bengkulu Selatan,Bengkulu,45.77,46.78,44.02,2016
Kab. Mukomuko,Bengkulu,46.95,42.7,43.82,2016
Kab. Kepahiang,Bengkulu,45.96,42.78,42.33,2016
Kab. Lebong,Bengkulu,43.91,42.38,44.51,2016
Kab. Kaur,Bengkulu,43.48,37.71,39.23,2016
Kab. Seluma,Bengkulu,42.8,35.98,37.47,2016
Kab. Bengkulu Tengah,Bengkulu,61.07,45.21,41.81,2016
Kota Bengkulu,Bengkulu,53.37,55.18,49.27,2016
Prov. Maluku Utara,Maluku Utara,61.35,49.63,46.31,2016
Kab. Pulau Taliabu,Maluku Utara,55.7,48.68,48.43,2016
Kab. Halmahera Tengah,Maluku Utara,57.46,51.99,48.35,2016
Kab. Halmahera Barat,Maluku Utara,54.25,42.27,39.66,2016
Kab. halmahera Utara,Maluku Utara,59.32,38.98,39.19,2016
Kab. Halmahera Selatan,Maluku Utara,58.96,46.25,42.46,2016
Kab. Halmahera Timur,Maluku Utara,63.25,64.49,57.57,2016
Kab. Kepulauan Sula,Maluku Utara,75.86,64.17,59.07,2016
Kab. Kepulauan Morotai,Maluku Utara,57.18,36.07,38.74,2016
Kota Ternate,Maluku Utara,63.86,47.59,42.95,2016
Kota Tidore Kepulauan,Maluku Utara,62.58,63.06,57.88,2016
Prov. Banten,Banten,49.77,50.72,47.63,2016
Kab. Pandeglang,Banten,46.74,49.03,45.32,2016
Kab. Lebak,Banten,41.36,38.61,42.09,2016
Kab. Tangerang,Banten,49.98,50.05,48.4,2016
Kab. Serang,Banten,43.52,43.93,46.29,2016
Kota Cilegon,Banten,49.46,46.62,43.01,2016
Kota Tangerang,Banten,59.62,56.22,51.63,2016
Kota Serang,Banten,46.29,48.8,46.42,2016
Kota Tangerang Selatan,Banten,60.0,62.29,54.53,2016
Prov. Bangka Belitung,Bangka Belitung,51.27,46.27,45.54,2016
Kab. Bangka,Bangka Belitung,51.25,45.83,45.07,2016
Kab. Belitung,Bangka Belitung,52.4,44.78,44.96,2016
Kab. Bangka Tengah,Bangka Belitung,49.63,41.89,44.02,2016
Kab. Bangka Barat,Bangka Belitung,48.99,44.39,42.31,2016
Kab. Bangka Selatan,Bangka Belitung,47.02,42.76,43.62,2016
Kab. Belitung Timur,Bangka Belitung,52.92,48.92,48.82,2016
Kota Pangkalpinang,Bangka Belitung,55.86,53.08,48.75,2016
Prov. Gorontalo,Gorontalo,55.61,47.46,43.33,2016
Kab. Boalemo,Gorontalo,56.52,40.62,38.69,2016
Kab. Gorontalo,Gorontalo,57.5,39.62,37.87,2016
Kab. Pohuwato,Gorontalo,53.54,57.79,56.62,2016
Kab. Bone Bolango,Gorontalo,55.55,50.7,44.16,2016
Kab. Gorontalo Utara,Gorontalo,67.4,46.92,45.97,2016
Kota Gorontalo,Gorontalo,46.91,55.03,42.46,2016
Prov. Kepulauan Riau,Kepulauan Riau,56.06,53.55,49.16,2016
Kab. Bintan,Kepulauan Riau,54.7,53.07,47.95,2016
Kab. Karimun,Kepulauan Riau,53.81,49.32,48.08,2016
Kab. Natuna,Kepulauan Riau,47.73,42.28,43.96,2016
Kab. Lingga,Kepulauan Riau,49.8,44.72,44.41,2016
Kab. Kepulauan Anambas,Kepulauan Riau,51.98,39.6,48.02,2016
Kota Batam,Kepulauan Riau,58.53,58.92,52.59,2016
Kota Tanjungpinang,Kepulauan Riau,56.34,57.73,48.73,2016
Prov. Papua Barat,Papua Barat,64.46,51.02,48.21,2016
Kab. Fakfak,Papua Barat,66.4,52.57,47.96,2016
Kab. Kaimana,Papua Barat,40.62,39.64,34.75,2016
Kab. Teluk Wondama,Papua Barat,57.58,31.2,30.97,2016
Kab. Teluk Bintuni,Papua Barat,65.25,57.07,54.15,2016
Kab. Manokwari,Papua Barat,65.66,47.69,45.97,2016
Kab. Sorong Selatan,Papua Barat,67.97,42.23,43.11,2016
Kab. Sorong,Papua Barat,62.58,65.89,61.61,2016
Kab. Raja Ampat,Papua Barat,67.89,65.36,61.43,2016
Kab. Tambrauw,Papua Barat,64.05,48.68,50.78,2016
Kab. Maybrat,Papua Barat,68.17,57.14,56.18,2016
Kab. Pegunungan Arfak,Papua Barat,64.93,71.54,55.92,2016
Kab. Manokwari Selatan,Papua Barat,55.86,31.4,40.73,2016
Kota Sorong,Papua Barat,68.61,48.82,44.82,2016
Prov. Sulawesi Barat,Sulawesi Barat,49.2,42.51,40.01,2016
Kab. Mamuju,Sulawesi Barat,44.16,46.61,44.83,2016
Kab. Pasangkayu,Sulawesi Barat,49.61,36.74,38.33,2016
Kab. Polewali Mandar,Sulawesi Barat,51.15,40.75,37.13,2016
Kab. Mamasa,Sulawesi Barat,57.98,47.15,44.85,2016
Kab. Majene,Sulawesi Barat,44.46,41.44,35.84,2016
Kab. Mamuju Tengah,Sulawesi Barat,45.73,46.33,37.75,2016
Prov. Kalimantan Utara,Kalimantan Utara,50.03,43.49,41.76,2016
Kab. Malinau,Kalimantan Utara,45.89,35.29,36.15,2016
Kab. Bulungan,Kalimantan Utara,51.82,41.84,40.93,2016
Kab. Tana Tidung,Kalimantan Utara,59.45,52.07,51.48,2016
Kab. Nunukan,Kalimantan Utara,48.18,44.98,42.17,2016
Prov. D.K.I. Jakarta,D.K.I. Jakarta,57.16,64.82,61.59,2017
Kab. Kepulauan Seribu,D.K.I. Jakarta,40.74,0.0,0.0,2017
Kota Jakarta Pusat,D.K.I. Jakarta,56.98,66.01,61.86,2017
Kota Jakarta Utara,D.K.I. Jakarta,54.51,61.85,59.09,2017
Kota Jakarta Barat,D.K.I. Jakarta,55.23,65.09,60.56,2017
Kota Jakarta Selatan,D.K.I. Jakarta,59.42,66.32,63.36,2017
Kota Jakarta Timur,D.K.I. Jakarta,58.25,64.31,61.87,2017
Prov. Jawa Barat,Jawa Barat,58.86,52.2,48.8,2017
Kab. Bogor,Jawa Barat,59.95,51.02,48.63,2017
Kab. Sukabumi,Jawa Barat,61.07,49.94,51.02,2017
Kab. Cianjur,Jawa Barat,56.04,48.08,46.0,2017
Kab. Bandung,Jawa Barat,59.72,48.54,44.66,2017
Kab. Sumedang,Jawa Barat,57.31,50.6,47.24,2017
Kab. Garut,Jawa Barat,55.66,43.68,43.59,2017
Kab. Tasikmalaya,Jawa Barat,61.27,52.94,54.76,2017
Kab. Ciamis,Jawa Barat,50.24,49.26,46.61,2017
Kab. Kuningan,Jawa Barat,59.81,51.04,47.83,2017
Kab. Majalengka,Jawa Barat,52.69,53.18,51.91,2017
Kab. Cirebon,Jawa Barat,61.23,49.34,48.44,2017
Kab. Indramayu,Jawa Barat,54.66,47.98,43.19,2017
Kab. Subang,Jawa Barat,58.74,48.0,45.13,2017
Kab. Purwakarta,Jawa Barat,60.94,48.65,44.74,2017
Kab. Karawang,Jawa Barat,62.4,46.84,43.06,2017
Kab. Bekasi,Jawa Barat,61.86,49.25,45.83,2017
Kab. Bandung Barat,Jawa Barat,61.33,48.13,44.42,2017
Kab. Pangandaran,Jawa Barat,57.48,45.31,41.85,2017
Kota Bandung,Jawa Barat,56.4,60.8,53.98,2017
Kota Bogor,Jawa Barat,62.02,62.09,56.97,2017
Kota Sukabumi,Jawa Barat,59.8,53.17,46.16,2017
Kota Cirebon,Jawa Barat,63.07,58.61,51.78,2017
Kota Bekasi,Jawa Barat,58.82,61.39,58.38,2017
Kota Depok,Jawa Barat,53.24,60.78,54.89,2017
Kota Cimahi,Jawa Barat,57.41,59.86,53.24,2017
Kota Tasikmalaya,Jawa Barat,65.03,54.11,54.12,2017
Kota Banjar,Jawa Barat,60.39,50.77,46.57,2017
Prov. Jawa Tengah,Jawa Tengah,54.06,58.03,53.29,2017
Kab. Cilacap,Jawa Tengah,53.55,57.11,53.43,2017
Kab. Banyumas,Jawa Tengah,55.44,62.18,57.8,2017
Kab. Purbalingga,Jawa Tengah,56.03,63.16,58.79,2017
Kab. Banjarnegara,Jawa Tengah,52.79,57.3,53.11,2017
Kab. Kebumen,Jawa Tengah,57.92,61.04,56.73,2017
Kab. Purworejo,Jawa Tengah,58.34,63.36,58.5,2017
Kab. Wonosobo,Jawa Tengah,56.54,57.16,54.77,2017
Kab. Magelang,Jawa Tengah,60.84,63.68,57.84,2017
Kab. Boyolali,Jawa Tengah,54.34,57.98,54.16,2017
Kab. Klaten,Jawa Tengah,57.35,59.45,54.43,2017
Kab. Sukoharjo,Jawa Tengah,58.31,60.09,61.67,2017
Kab. Wonogiri,Jawa Tengah,56.22,61.53,56.15,2017
Kab. Karanganyar,Jawa Tengah,56.02,58.11,54.49,2017
Kab. Sragen,Jawa Tengah,52.46,57.05,51.64,2017
Kab. Grobogan,Jawa Tengah,47.75,51.2,46.52,2017
Kab. Blora,Jawa Tengah,51.62,54.82,52.26,2017
Kab. Rembang,Jawa Tengah,53.02,58.45,51.91,2017
Kab. Pati,Jawa Tengah,53.99,56.75,49.59,2017
Kab. Kudus,Jawa Tengah,55.64,59.94,52.53,2017
Kab. Jepara,Jawa Tengah,51.95,54.53,49.56,2017
Kab. Demak,Jawa Tengah,46.58,49.16,46.24,2017
Kab. Semarang,Jawa Tengah,55.7,58.82,54.55,2017
Kab. Temanggung,Jawa Tengah,57.53,58.2,54.82,2017
Kab. Kendal,Jawa Tengah,50.26,54.46,50.56,2017
Kab. Batang,Jawa Tengah,50.7,52.25,49.65,2017
Kab. Pekalongan,Jawa Tengah,52.63,55.02,51.09,2017
Kab. Pemalang,Jawa Tengah,49.05,52.95,50.16,2017
Kab. Tegal,Jawa Tengah,49.45,52.12,49.23,2017
Kab. Brebes,Jawa Tengah,45.44,48.66,45.39,2017
Kota Magelang,Jawa Tengah,67.57,68.19,66.47,2017
Kota Surakarta,Jawa Tengah,63.62,68.46,63.46,2017
Kota Salatiga,Jawa Tengah,66.61,67.14,61.59,2017
Kota Semarang,Jawa Tengah,60.11,62.61,56.79,2017
Kota Pekalongan,Jawa Tengah,57.51,63.68,56.49,2017
Kota Tegal,Jawa Tengah,57.48,59.25,57.24,2017
Prov. D.I. Yogyakarta,D.I. Yogyakarta,62.11,63.7,60.12,2017
Kab. Bantul,D.I. Yogyakarta,61.89,60.92,59.58,2017
Kab. Sleman,D.I. Yogyakarta,63.91,61.49,61.04,2017
Kab. Gunung Kidul,D.I. Yogyakarta,56.1,61.32,57.0,2017
Kab. Kulon Progo,D.I. Yogyakarta,60.15,60.32,57.16,2017
Kota Yogyakarta,D.I. Yogyakarta,67.91,68.55,62.87,2017
Prov. Jawa Timur,Jawa Timur,54.78,55.24,48.67,2017
Kab. Gresik,Jawa Timur,58.26,56.08,51.25,2017
Kab. Sidoarjo,Jawa Timur,56.13,59.46,52.55,2017
Kab. Mojokerto,Jawa Timur,55.56,57.64,50.49,2017
Kab. Jombang,Jawa Timur,52.46,55.83,52.44,2017
Kab. Bojonegoro,Jawa Timur,49.59,51.49,46.47,2017
Kab. Tuban,Jawa Timur,51.54,52.9,47.94,2017
Kab. Lamongan,Jawa Timur,61.13,50.49,46.66,2017
Kab. Madiun,Jawa Timur,53.76,55.87,52.42,2017
Kab. Ngawi,Jawa Timur,51.17,55.59,49.29,2017
Kab. Magetan,Jawa Timur,52.53,55.95,52.03,2017
Kab. Ponorogo,Jawa Timur,52.29,56.53,50.64,2017
Kab. Pacitan,Jawa Timur,51.72,53.85,49.51,2017
Kab. Kediri,Jawa Timur,52.76,53.37,50.14,2017
Kab. Nganjuk,Jawa Timur,50.35,53.6,50.02,2017
Kab. Blitar,Jawa Timur,52.84,56.89,52.82,2017
Kab. Tulungagung,Jawa Timur,59.57,60.28,52.64,2017
Kab. Trenggalek,Jawa Timur,52.76,58.08,51.79,2017
Kab. Malang,Jawa Timur,51.52,55.02,50.19,2017
Kab. Pasuruan,Jawa Timur,60.3,55.57,50.13,2017
Kab. Probolinggo,Jawa Timur,49.48,48.58,41.68,2017
Kab. Lumajang,Jawa Timur,51.38,53.15,44.23,2017
Kab. Bondowoso,Jawa Timur,50.76,49.32,42.24,2017
Kab. Situbondo,Jawa Timur,50.9,48.33,46.42,2017
Kab. Jember,Jawa Timur,49.75,52.31,44.69,2017
Kab. Banyuwangi,Jawa Timur,52.0,53.23,47.89,2017
Kab. Pamekasan,Jawa Timur,54.82,43.63,39.34,2017
Kab. Sampang,Jawa Timur,54.71,42.31,39.74,2017
Kab. Sumenep,Jawa Timur,61.99,46.46,45.8,2017
Kab. Bangkalan,Jawa Timur,64.56,47.96,47.13,2017
Kota Surabaya,Jawa Timur,58.06,61.73,55.67,2017
Kota Malang,Jawa Timur,61.8,67.32,62.73,2017
Kota Madiun,Jawa Timur,60.6,60.08,55.73,2017
Kota Kediri,Jawa Timur,60.53,62.1,55.3,2017
Kota Mojokerto,Jawa Timur,57.76,57.38,54.04,2017
Kota Blitar,Jawa Timur,59.85,60.97,54.45,2017
Kota Pasuruan,Jawa Timur,55.47,56.88,51.3,2017
Kota Probolinggo,Jawa Timur,64.62,57.06,48.95,2017
Kota Batu,Jawa Timur,57.86,60.9,57.71,2017
Prov. Aceh,Aceh,47.96,41.96,38.67,2017
Kab. Aceh Besar,Aceh,43.9,41.27,35.85,2017
Kab. Pidie,Aceh,40.15,36.31,34.43,2017
Kab. Aceh Utara,Aceh,54.93,37.68,35.71,2017
Kab. Aceh Timur,Aceh,40.51,36.77,34.87,2017
Kab. Aceh Tengah,Aceh,68.48,42.56,39.35,2017
Kab. Aceh Barat,Aceh,44.23,45.44,39.69,2017
Kab. Aceh Selatan,Aceh,46.6,42.89,37.92,2017
Kab. Aceh Tenggara,Aceh,39.51,37.7,33.67,2017
Kab. Simeulue,Aceh,46.43,44.35,43.67,2017
Kab. Bireuen,Aceh,40.03,39.8,36.44,2017
Kab. Aceh Singkil,Aceh,48.3,41.9,41.45,2017
Kab. Aceh Tamiang,Aceh,48.49,42.61,41.63,2017
Kab. Nagan Raya,Aceh,44.9,37.31,34.7,2017
Kab. Aceh Jaya,Aceh,59.28,46.33,44.27,2017
Kab. Aceh Barat Daya,Aceh,39.92,40.0,35.68,2017
Kab. Gayo Lues,Aceh,40.45,38.08,36.54,2017
Kab. Bener Meriah,Aceh,41.77,39.25,39.12,2017
Kab. Pidie Jaya,Aceh,53.89,50.18,39.58,2017
Kota Sabang,Aceh,44.75,41.15,38.01,2017
Kota Banda Aceh,Aceh,52.15,57.07,53.26,2017
Kota Lhokseumawe,Aceh,61.89,43.46,38.9,2017
Kota Langsa,Aceh,65.16,48.59,41.93,2017
Kota Subulussalam,Aceh,45.84,44.13,43.21,2017
Prov. Sumatera Utara,Sumatera Utara,57.75,56.37,53.32,2017
Kab. Deli Serdang,Sumatera Utara,60.23,63.93,61.16,2017
Kab. Langkat,Sumatera Utara,51.24,62.05,59.82,2017
Kab. Karo,Sumatera Utara,50.51,58.25,56.18,2017
Kab. Simalungun,Sumatera Utara,71.43,70.01,69.98,2017
Kab. Dairi,Sumatera Utara,56.08,65.87,64.12,2017
Kab. Asahan,Sumatera Utara,47.17,56.1,52.85,2017
Kab. Labuhanbatu,Sumatera Utara,76.93,63.66,61.05,2017
Kab. Tapanuli Utara,Sumatera Utara,44.69,56.46,47.27,2017
Kab. Tapanuli Tengah,Sumatera Utara,47.63,51.21,46.16,2017
Kab. Tapanuli Selatan,Sumatera Utara,66.36,45.62,47.76,2017
Kab. Nias,Sumatera Utara,51.92,46.1,41.89,2017
Kab. Mandailing Natal,Sumatera Utara,50.17,47.13,45.43,2017
Kab. Toba Samosir,Sumatera Utara,47.42,54.77,48.81,2017
Kab. Nias Selatan,Sumatera Utara,54.97,50.13,49.34,2017
Kab. Pakpak Bharat,Sumatera Utara,64.6,75.17,72.2,2017
Kab. Humbang Hasundutan,Sumatera Utara,44.69,59.7,53.24,2017
Kab. Samosir,Sumatera Utara,49.69,63.57,56.19,2017
Kab. Serdang Bedagai,Sumatera Utara,50.95,46.46,46.14,2017
Kab. Batu Bara,Sumatera Utara,41.11,40.06,38.4,2017
Kab. Padang Lawas utara,Sumatera Utara,72.21,39.37,40.4,2017
Kab. Padang Lawas,Sumatera Utara,69.73,53.81,54.35,2017
Kab. Labuhanbatu Utara,Sumatera Utara,64.92,48.32,49.91,2017
Kab. Labuhanbatu Selatan,Sumatera Utara,49.64,51.05,43.37,2017
Kab. Nias Barat,Sumatera Utara,60.18,50.58,49.22,2017
Kab. Nias Utara,Sumatera Utara,49.08,46.73,43.78,2017
Kota Medan,Sumatera Utara,65.44,56.37,53.52,2017
Kota Binjai,Sumatera Utara,57.98,55.22,53.06,2017
Kota Tebing Tinggi,Sumatera Utara,53.77,47.19,43.38,2017
Kota Pematangsiantar,Sumatera Utara,60.24,58.44,55.69,2017
Kota Tanjungbalai,Sumatera Utara,50.63,66.37,62.94,2017
Kota Sibolga,Sumatera Utara,45.56,47.59,43.87,2017
Kota Padang Sidempuan,Sumatera Utara,59.68,46.59,41.4,2017
Kota Gunungsitoli,Sumatera Utara,54.62,61.51,56.08,2017
Prov. Sumatera Barat,Sumatera Barat,51.37,58.86,51.12,2017
Kab. Agam,Sumatera Barat,51.4,57.6,48.52,2017
Kab. Pasaman,Sumatera Barat,48.22,66.6,52.9,2017
Kab. Limapuluh Kota,Sumatera Barat,51.51,57.93,53.15,2017
Kab. Solok,Sumatera Barat,48.44,52.92,47.5,2017
Kab. Padang Pariaman,Sumatera Barat,48.22,54.34,50.46,2017
Kab. Pesisir Selatan,Sumatera Barat,43.9,60.26,47.28,2017
Kab. Tanah Datar,Sumatera Barat,53.45,58.15,54.66,2017
Kab. Sijunjung,Sumatera Barat,49.35,52.11,47.77,2017
Kab. Kepulauan Mentawai,Sumatera Barat,51.35,35.66,34.45,2017
Kab. Solok Selatan,Sumatera Barat,47.35,61.04,52.86,2017
Kab. Dharmasraya,Sumatera Barat,48.73,50.83,44.9,2017
Kab. Pasaman Barat,Sumatera Barat,47.6,53.08,46.66,2017
Kota Bukittinggi,Sumatera Barat,63.12,63.16,56.34,2017
Kota Padang,Sumatera Barat,57.02,63.38,57.78,2017
Kota Padang Panjang,Sumatera Barat,60.07,64.16,53.93,2017
Kota Sawahlunto,Sumatera Barat,55.1,59.22,51.97,2017
Kota Solok,Sumatera Barat,52.96,59.82,52.57,2017
Kota Payakumbuh,Sumatera Barat,59.51,62.14,55.04,2017
Kota Pariaman,Sumatera Barat,51.87,56.78,50.1,2017
Prov. Riau,Riau,53.93,50.16,46.58,2017
Kab. Kampar,Riau,54.4,45.66,42.79,2017
Kab. Bengkalis,Riau,54.6,49.09,44.78,2017
Kab. Indragiri Hulu,Riau,48.44,46.88,42.93,2017
Kab. Indragiri Hilir,Riau,63.33,51.68,53.46,2017
Kab. Pelalawan,Riau,57.23,48.82,45.39,2017
Kab. Rokan Hulu,Riau,49.99,46.74,45.52,2017
Kab. Rokan Hilir,Riau,53.25,45.41,45.77,2017
Kab. Siak,Riau,51.0,48.74,45.13,2017
Kab. Kuantan Singingi,Riau,46.34,47.04,43.93,2017
Kab. Kepulauan Meranti,Riau,53.97,44.18,41.35,2017
Kota Pekanbaru,Riau,55.88,60.19,52.21,2017
Kota Dumai,Riau,50.21,53.45,45.67,2017
Prov. Jambi,Jambi,48.55,49.32,43.95,2017
Kab. Batanghari,Jambi,45.78,44.56,40.46,2017
Kab. Bungo,Jambi,43.44,45.52,40.94,2017
Kab. Sarolangun,Jambi,44.55,42.64,38.01,2017
Kab. Tanjung Jabung Barat,Jambi,48.16,47.79,42.41,2017
Kab. Kerinci,Jambi,41.49,38.77,36.49,2017
Kab. Tebo,Jambi,49.6,48.36,44.37,2017
Kab. Muaro Jambi,Jambi,45.89,50.2,43.02,2017
Kab. Tanjung Jabung Timur,Jambi,48.6,47.77,44.39,2017
Kab. Merangin,Jambi,47.75,45.85,41.28,2017
Kota Jambi,Jambi,57.95,58.3,54.06,2017
Kota Sungai Penuh,Jambi,45.31,49.47,41.34,2017
Prov. Sumatera Selatan,Sumatera Selatan,48.69,45.57,41.53,2017
Kab. Musi Banyuasin,Sumatera Selatan,45.4,39.27,37.61,2017
Kab. Ogan Komering Ilir,Sumatera Selatan,62.59,41.84,40.26,2017
Kab. Ogan Komering Ulu,Sumatera Selatan,43.52,45.21,40.41,2017
Kab. Muara Enim,Sumatera Selatan,48.5,44.81,41.49,2017
Kab. Lahat,Sumatera Selatan,42.77,41.47,38.14,2017
Kab. Musi Rawas,Sumatera Selatan,52.06,54.5,52.07,2017
Kab. Banyuasin,Sumatera Selatan,50.78,41.35,42.72,2017
Kab. Ogan Komering Ulu Timur,Sumatera Selatan,43.24,43.95,40.88,2017
Kab. Ogan Komering Ulu Selatan,Sumatera Selatan,46.14,41.46,41.76,2017
Kab. Ogan Ilir,Sumatera Selatan,42.32,41.32,39.54,2017
Kab. Empat Lawang,Sumatera Selatan,39.24,37.07,35.87,2017
Kab. Penukal Abab Lematang Ilir,Sumatera Selatan,51.14,39.85,37.78,2017
Kab. Musi Rawas Utara,Sumatera Selatan,54.5,36.95,33.51,2017
Kota Palembang,Sumatera Selatan,47.89,52.49,44.73,2017
Kota Prabumulih,Sumatera Selatan,48.06,47.24,42.94,2017
Kota Lubuklinggau,Sumatera Selatan,66.7,47.07,42.9,2017
Kota Pagar Alam,Sumatera Selatan,42.53,40.61,38.71,2017
Prov. Lampung,Lampung,50.88,48.4,44.37,2017
Kab. Lampung Selatan,Lampung,47.43,47.83,43.03,2017
Kab. Lampung Tengah,Lampung,49.03,47.15,45.35,2017
Kab. Lampung Utara,Lampung,49.54,44.39,41.23,2017
Kab. Lampung Barat,Lampung,58.95,45.11,42.83,2017
Kab. Tulang Bawang,Lampung,46.26,40.09,45.07,2017
Kab. Tanggamus,Lampung,49.8,45.63,48.6,2017
Kab. Lampung Timur,Lampung,45.35,43.49,41.41,2017
Kab. Way Kanan,Lampung,52.97,44.28,44.08,2017
Kab. Pesawaran,Lampung,44.97,42.31,38.98,2017
Kab. Pringsewu,Lampung,64.64,51.86,46.43,2017
Kab. Mesuji,Lampung,46.4,40.37,37.63,2017
Kab. Tulang Bawang Barat,Lampung,45.41,46.84,43.84,2017
Kab. Pesisir Barat,Lampung,44.71,40.76,37.16,2017
Kota Bandar Lampung,Lampung,60.92,57.19,48.99,2017
Kota Metro,Lampung,52.31,53.76,48.53,2017
Prov. Kalimantan Barat,Kalimantan Barat,48.46,46.38,42.28,2017
Kab. Sambas,Kalimantan Barat,47.61,46.56,42.87,2017
Kab. Mempawah,Kalimantan Barat,46.93,42.11,36.89,2017
Kab. Sanggau,Kalimantan Barat,48.58,42.41,41.53,2017
Kab. Sintang,Kalimantan Barat,54.3,45.19,44.17,2017
Kab. Kapuas Hulu,Kalimantan Barat,44.56,43.11,41.17,2017
Kab. Ketapang,Kalimantan Barat,43.96,43.98,42.78,2017
Kab. Bengkayang,Kalimantan Barat,43.72,39.51,39.32,2017
Kab. Landak,Kalimantan Barat,40.42,38.52,36.52,2017
Kab. Sekadau,Kalimantan Barat,53.63,49.23,47.3,2017
Kab. Melawi,Kalimantan Barat,44.25,39.34,38.49,2017
Kab. Kayong Utara,Kalimantan Barat,42.13,41.12,39.87,2017
Kab. Kubu Raya,Kalimantan Barat,50.57,42.98,41.75,2017
Kota Pontianak,Kalimantan Barat,55.9,57.07,47.81,2017
Kota Singkawang,Kalimantan Barat,49.4,50.96,45.86,2017
Prov. Kalimantan Tengah,Kalimantan Tengah,55.12,49.08,46.58,2017
Kab. Kapuas,Kalimantan Tengah,59.87,53.78,50.75,2017
Kab. Barito Selatan,Kalimantan Tengah,63.54,56.5,55.88,2017
Kab. Barito Utara,Kalimantan Tengah,52.07,54.32,47.46,2017
Kab. Kotawaringin Timur,Kalimantan Tengah,52.96,50.81,44.92,2017
Kab. Kotawaringin Barat,Kalimantan Tengah,51.39,46.72,46.24,2017
Kab. Katingan,Kalimantan Tengah,51.31,45.82,44.4,2017
Kab. Seruyan,Kalimantan Tengah,47.19,44.4,40.29,2017
Kab. Sukamara,Kalimantan Tengah,52.47,48.07,48.48,2017
Kab. Lamandau,Kalimantan Tengah,57.91,47.78,41.22,2017
Kab. Gunung Mas,Kalimantan Tengah,60.15,50.15,49.82,2017
Kab. Pulang Pisau,Kalimantan Tengah,60.19,45.62,45.88,2017
Kab. Murung Raya,Kalimantan Tengah,54.28,46.31,45.91,2017
Kab. Barito Timur,Kalimantan Tengah,50.94,49.01,43.5,2017
Kota Palangka Raya,Kalimantan Tengah,56.59,45.97,43.05,2017
Prov. Kalimantan Selatan,Kalimantan Selatan,52.82,51.3,48.31,2017
Kab. Banjar,Kalimantan Selatan,55.5,48.86,45.69,2017
Kab. Tanah Laut,Kalimantan Selatan,49.6,50.16,47.51,2017
Kab. Barito Kuala,Kalimantan Selatan,58.36,49.44,50.09,2017
Kab. Tapin,Kalimantan Selatan,61.04,50.9,46.0,2017
Kab. Hulu Sungai Selatan,Kalimantan Selatan,50.86,52.49,49.3,2017
Kab. Hulu Sungai Tengah,Kalimantan Selatan,51.13,53.69,50.51,2017
Kab. Hulu Sungai Utara,Kalimantan Selatan,50.85,54.7,50.19,2017
Kab. Tabalong,Kalimantan Selatan,55.37,49.27,47.63,2017
Kab. Kotabaru,Kalimantan Selatan,54.78,47.41,44.48,2017
Kab. Balangan,Kalimantan Selatan,46.66,43.64,41.17,2017
Kab. Tanah Bumbu,Kalimantan Selatan,48.05,47.46,47.95,2017
Kota Banjarmasin,Kalimantan Selatan,51.37,53.46,50.76,2017
Kota Banjarbaru,Kalimantan Selatan,52.47,58.59,51.86,2017
Prov. Kalimantan Timur,Kalimantan Timur,51.38,55.58,50.84,2017
Kab. Paser,Kalimantan Timur,48.07,48.84,46.49,2017
Kab. Kutai Kartanegara,Kalimantan Timur,49.45,52.55,51.3,2017
Kab. Berau,Kalimantan Timur,47.84,48.52,45.66,2017
Kab. Kutai Barat,Kalimantan Timur,54.47,47.65,46.12,2017
Kab. Kutai Timur,Kalimantan Timur,50.86,55.07,49.76,2017
Kab. Penajam Paser Utara,Kalimantan Timur,52.42,55.23,50.75,2017
Kab. Mahakam Ulu,Kalimantan Timur,53.75,57.11,59.11,2017
Kota Samarinda,Kalimantan Timur,49.96,57.51,50.2,2017
Kota Balikpapan,Kalimantan Timur,55.5,60.94,53.81,2017
Kota Bontang,Kalimantan Timur,57.47,63.93,61.97,2017
Prov. Sulawesi Utara,Sulawesi Utara,57.01,48.67,43.72,2017
Kab. Bolaang Mongondow,Sulawesi Utara,59.57,46.51,43.87,2017
Kab. Minahasa,Sulawesi Utara,64.0,47.38,45.06,2017
Kab. Kepulauan Sangihe,Sulawesi Utara,69.29,48.78,49.04,2017
Kab. Kepulauan Talaud,Sulawesi Utara,64.11,53.8,54.71,2017
Kab. Minahasa Selatan,Sulawesi Utara,57.18,49.96,44.78,2017
Kab. Minahasa Utara,Sulawesi Utara,61.97,46.43,40.82,2017
Kab. Bolaang Mongondow Utara,Sulawesi Utara,43.33,40.21,37.44,2017
"Kab. Kepulauan Siau, Tagulandang, Biaro",Sulawesi Utara,66.64,56.47,51.07,2017
Kab. Minahasa Tenggara,Sulawesi Utara,62.64,43.95,40.68,2017
Kab. Bolaang Mongondow Timur,Sulawesi Utara,64.78,40.01,38.85,2017
