monthly_rent_rm
1300
1800
780
2500
1500
900
1800
1100
1000
900
5200
1600
1700
2000
2300
4500
1400
1500
1200
2400
2600
1800
1500
1200
1400
2500
1500
900
1400
1500
2600
1500
1600
1899
1900
1500
2299
1900
1900
4500
1700
2100
1550
1700
3000
1250
1700
2800
2200
2600
1700
5300
2400
1500
1700
1400
2300
1350
1300
1800
1400
1500
1500
1750
1200
2000
2500
1600
1800
1500
1988
2800
1800
1600
1600
3000
2400
1000
1500
1798
1300
1000
1400
1100
1500
800
2800
1399
1800
1500
1800
1300
1100
1400
1201
2800
3300
4800
2500
1998
1750
600
2700
800
1600
2800
900
899
1300
1800
2300
1600
1600
1100
3100
3200
2500
3000
3799
1400
1000
800
4500
1950
1800
1400
1300
2900
1800
3600
1400
1000
850
2800
1350
1000
880
800
1300
1100
1200
3500
1200
1600
1400
2800
2000
1300
1450
1300
1300
1200
2499
1300
1800
1850
1800
800
1550
602
1500
2100
3500
1250
3900
1750
1600
1499
1300
2000
2400
1300
1900
1799
1600
1800
1800
1000
1800
1200
800
1450
1800
1400
1600
2800
1500
3000
1600
4500
2300
1300
4000
2600
1500
1800
1000
3000
1400
1300
2300
705
1600
900
2100
1800
1000
1900
2500
1800
2300
2300
3000
2300
1400
1250
1700
1450
2000
2000
1400
2800
2200
1500
1650
1250
1300
1300
2100
1200
2500
3000
3200
1600
1350
1400
1000
1450
2000
1000
1800
1500
1800
2650
2500
1200
1100
3500
1150
1400
2300
1600
1700
1300
1800
1600
4600
900
800
1050
2400
850
1900
2200
1350
1300
1200
2000
1400
900
1000
850
1500
1500
2450
2300
1500
1899
1300
2100
1300
2500
1499
2400
1200
2199
2000
900
1300
2000
2200
1400
2000
1700
1600
1350
1500
2600
4350
1499
1600
1700
850
2600
1500
1000
1000
1500
3700
1300
1600
1500
1600
1500
1950
1800
1200
3500
1300
800
2100
1300
1700
2000
2000
2500
2100
1400
1300
2000
1500
1800
2099
2200
3300
850
900
850
2300
1500
1550
1400
1300
4000
1800
2400
2000
1200
1800
2500
1650
2500
1200
1400
1500
1400
2100
1500
1400
1300
604
1800
2300
1650
1600
1700
2000
1899
1450
1050
1500
2400
700
700
1730
3900
1600
2000
2600
2800
3500
1500
1300
1700
1500
1700
2100
2100
1700
1000
1600
1650
1900
1200
1600
1399
2299
3800
1300
1250
1700
550
1699
1000
1500
2300
4200
1500
1400
1700
1200
1800
1500
1800
1700
1200
1300
3000
1800
1800
2100
1300
2000
2850
1800
1450
1000
1500
1200
1200
3500
1500
950
1500
2500
1100
3300
800
1800
900
1900
1750
3000
1050
2400
